nppes_provider_state,beneficiary_age_less_65_total,beneficiary_age_65_74_total,beneficiary_age_75_84_total,beneficiary_age_greater_84_total,beneficiary_female_total,beneficiary_male_total,beneficiary_race_white_total,beneficiary_race_black_total,beneficiary_race_api_total,beneficiary_race_hispanic_total,beneficiary_race_natind_total,beneficiary_race_other_total,beneficiary_nondual_total,beneficiary_dual_total,beneficiary_cc_afib_total,beneficiary_cc_alzrdsd_total,beneficiary_cc_asthma_total,beneficiary_cc_cancer_total,beneficiary_cc_chf_total,beneficiary_cc_ckd_total,beneficiary_cc_copd_total,beneficiary_cc_depr_total,beneficiary_cc_diab_total,beneficiary_cc_hyperl_total,beneficiary_cc_hypert_total,beneficiary_cc_ihd_total,beneficiary_cc_ost_total,beneficiary_cc_raoa_total,beneficiary_cc_schiot_total,beneficiary_cc_strk_total
AK,75808.0,245964.0,136494.0,47582.0,302881.0,230602.0,362767.0,13953.0,16903.0,9917.0,41172.0,5765.0,358026.0,157258.0,63433.0,70228.0,38426.0,56335.0,109179.0,172970.0,93494.0,118838.0,163682.0,207348.0,333144.0,167645.0,34225.0,226547.0,14596.0,26065.0
AL,1306230.0,2659740.0,1837150.0,768976.0,3888074.0,2790094.0,5037070.0,856943.0,9805.0,30872.0,4347.0,24428.0,4875663.0,1620304.0,927750.0,1062611.0,584359.0,810637.0,1806590.0,2686982.0,1561854.0,1850899.0,2576524.0,3904511.0,4961439.0,2883091.0,564588.0,3464955.0,275508.0,522839.0
AR,692103.0,1588150.0,1149692.0,481065.0,2326193.0,1642129.0,3196763.0,257131.0,4688.0,26495.0,19677.0,12325.0,2974674.0,929135.0,590685.0,687488.0,283055.0,479108.0,1037853.0,1399872.0,885891.0,1128538.0,1344271.0,2012374.0,2852886.0,1795471.0,352086.0,1870898.0,151654.0,301538.0
AZ,643119.0,3613533.0,2434736.0,911481.0,4327972.0,3494778.0,6366195.0,159122.0,49228.0,476146.0,133365.0,86910.0,5938567.0,988006.0,1172330.0,1001142.0,711694.0,1085295.0,1593642.0,2920581.0,1398195.0,1858181.0,2429893.0,4420425.0,5318378.0,2990658.0,803229.0,3755736.0,151854.0,530235.0
CA,3949662.0,12127198.0,8826009.0,4551294.0,17213130.0,12952106.0,19850505.0,1524363.0,2501738.0,4048964.0,72843.0,459113.0,18622996.0,10121812.0,4356099.0,5172639.0,2879578.0,3832030.0,8060805.0,11840368.0,5732942.0,8077463.0,11259179.0,16480920.0,20764356.0,12166382.0,3464323.0,14027570.0,1592227.0,2292972.0
CO,692916.0,2310465.0,1411386.0,651278.0,2963009.0,2262475.0,4152902.0,154762.0,35694.0,323132.0,13611.0,60299.0,3828568.0,1043988.0,673353.0,740725.0,438197.0,623960.0,1093981.0,1755912.0,971710.0,1439328.0,1434513.0,2264687.0,3230790.0,1756625.0,490304.0,2415719.0,138140.0,298264.0
CT,706376.0,1859702.0,1543910.0,986148.0,3025680.0,2179144.0,4156752.0,323811.0,27146.0,230901.0,2000.0,71337.0,3537842.0,1570954.0,953743.0,987941.0,567363.0,748235.0,1380503.0,1950013.0,1067186.0,1620958.0,1752221.0,2842390.0,3703913.0,2046542.0,552740.0,2361405.0,280946.0,379799.0
DE,220659.0,734766.0,500510.0,216299.0,979520.0,716348.0,1329005.0,227159.0,8467.0,21024.0,374.0,19991.0,1317904.0,339851.0,288405.0,261874.0,154479.0,227691.0,382763.0,652001.0,334087.0,494961.0,641694.0,1116697.0,1229360.0,717789.0,140446.0,820417.0,51110.0,162423.0
FL,3374129.0,11440198.0,9410309.0,4878379.0,16717155.0,12903730.0,23427655.0,1978679.0,86879.0,2082571.0,13319.0,276805.0,22164849.0,5881062.0,5247892.0,5861783.0,2613553.0,4383030.0,8028542.0,12497159.0,7137749.0,8893416.0,11221496.0,19158841.0,21578837.0,14786186.0,3318516.0,15146914.0,1366606.0,2687128.0
GA,1835284.0,4584881.0,3060735.0,1287477.0,6337678.0,4647959.0,8026875.0,1741476.0,62779.0,120519.0,4532.0,66817.0,8028148.0,2523876.0,1539422.0,1773748.0,922448.0,1404043.0,2876162.0,4567299.0,2360419.0,2965963.0,4167952.0,6478778.0,8023737.0,4456078.0,852318.0,5253140.0,407618.0,856328.0
HI,85379.0,389208.0,252782.0,141230.0,504825.0,402370.0,324186.0,9186.0,394883.0,29086.0,681.0,83553.0,644147.0,140689.0,107275.0,146646.0,87687.0,114374.0,190576.0,355911.0,122896.0,151627.0,334169.0,547073.0,646241.0,300177.0,115507.0,317118.0,21926.0,60995.0
IA,522108.0,1574516.0,1114088.0,582941.0,2249200.0,1627441.0,3026302.0,65133.0,5291.0,25678.0,4902.0,24756.0,2977034.0,756299.0,593273.0,483345.0,281407.0,448328.0,879561.0,1302187.0,764076.0,1104304.0,1220543.0,2042659.0,2614242.0,1409527.0,331432.0,1620662.0,115130.0,200562.0
ID,222380.0,770694.0,539309.0,219807.0,1020374.0,779001.0,1452015.0,9727.0,15026.0,44370.0,8758.0,18017.0,1407064.0,335541.0,219369.0,201133.0,138189.0,193369.0,333780.0,531876.0,276131.0,475742.0,515787.0,748875.0,1100770.0,533637.0,149791.0,800945.0,41996.0,74459.0
