nppes_provider_state,beneficiary_age_less_65_total,beneficiary_age_65_74_total,beneficiary_age_75_84_total,beneficiary_age_greater_84_total,beneficiary_female_total,beneficiary_male_total,beneficiary_race_white_total,beneficiary_race_black_total,beneficiary_race_api_total,beneficiary_race_hispanic_total,beneficiary_race_natind_total,beneficiary_race_other_total,beneficiary_nondual_total,beneficiary_dual_total,beneficiary_cc_afib_total,beneficiary_cc_alzrdsd_total,beneficiary_cc_asthma_total,beneficiary_cc_cancer_total,beneficiary_cc_chf_total,beneficiary_cc_ckd_total,beneficiary_cc_copd_total,beneficiary_cc_depr_total,beneficiary_cc_diab_total,beneficiary_cc_hyperl_total,beneficiary_cc_hypert_total,beneficiary_cc_ihd_total,beneficiary_cc_ost_total,beneficiary_cc_raoa_total,beneficiary_cc_schiot_total,beneficiary_cc_strk_total
AK,72763.0,225420.0,121624.0,40139.0,274236.0,211795.0,330861.0,11831.0,14857.0,8644.0,38729.0,3917.0,326218.0,140291.0,55626.0,55097.0,98765.0,50130.0,94538.0,147226.0,81925.0,101293.0,148774.0,198347.0,302534.0,147690.0,29610.0,203406.0,12737.0,21331.0
AL,1421879.0,3041074.0,2054404.0,838686.0,4383560.0,3062205.0,5656073.0,1004090.0,10514.0,31086.0,4246.0,24579.0,5587394.0,1650485.0,1002666.0,1121467.0,1873310.0,899481.0,1938405.0,2761690.0,1671372.0,1909870.0,2839410.0,4596036.0,5514865.0,3148292.0,620141.0,3790634.0,314251.0,560978.0
AR,700863.0,1523317.0,1100675.0,474460.0,2268488.0,1586608.0,3096800.0,251188.0,4569.0,24732.0,19017.0,9514.0,2872157.0,924977.0,555092.0,653524.0,901425.0,454018.0,1000430.0,1266126.0,841148.0,1023907.0,1294041.0,2035130.0,2755296.0,1718712.0,335112.0,1733781.0,183715.0,288141.0
AZ,662897.0,3525249.0,2331752.0,923135.0,4220291.0,3419161.0,6231353.0,154156.0,51807.0,468198.0,127016.0,70694.0,5826480.0,962862.0,1119734.0,929833.0,1612886.0,1048016.0,1515021.0,2694746.0,1351469.0,1702911.0,2348935.0,4487434.0,5154444.0,2866233.0,760568.0,3520127.0,172962.0,509407.0
CA,3988668.0,11662352.0,8427786.0,4491422.0,16724713.0,12519220.0,19271110.0,1492640.0,2360892.0,3971756.0,69351.0,364565.0,18031814.0,9812283.0,4133016.0,4843825.0,6414162.0,3674736.0,7764678.0,10891302.0,5501984.0,7505350.0,10852663.0,17077727.0,20082813.0,11779201.0,3217519.0,13388365.0,1626187.0,2186725.0
CO,690968.0,2137143.0,1309900.0,627843.0,2791013.0,2124475.0,3881356.0,149903.0,32942.0,312222.0,11459.0,45407.0,3573797.0,1010919.0,620561.0,676432.0,1063766.0,573476.0,988077.0,1571447.0,911065.0,1300453.0,1337222.0,2273104.0,3027476.0,1611925.0,438931.0,2225473.0,149714.0,271687.0
CT,721334.0,1814692.0,1503397.0,995259.0,2992506.0,2138219.0,4107726.0,319408.0,26277.0,235389.0,1606.0,57625.0,3464696.0,1581096.0,925322.0,959412.0,1259576.0,729682.0,1364033.0,1833931.0,1047130.0,1519255.0,1738548.0,3142707.0,3654269.0,2016973.0,536237.0,2273918.0,310106.0,365628.0
DE,233917.0,724390.0,482759.0,215375.0,967459.0,708610.0,1315639.0,228821.0,7116.0,22608.0,343.0,16117.0,1314948.0,317562.0,276537.0,270455.0,389226.0,223212.0,385111.0,618455.0,335627.0,462882.0,639035.0,1156688.0,1217552.0,713388.0,134328.0,801269.0,58471.0,165753.0
FL,3541040.0,11324051.0,9208374.0,4939804.0,16691356.0,12789326.0,23205714.0,1989903.0,86778.0,2171325.0,13225.0,226245.0,21975384.0,6099296.0,5111642.0,5675378.0,7718712.0,4342551.0,7950681.0,11766909.0,7136718.0,8409410.0,11236128.0,20166116.0,21484271.0,14652790.0,3288892.0,14907542.0,1513856.0,2637725.0
GA,1890243.0,4465334.0,2957805.0,1281619.0,6252985.0,4551980.0,7881871.0,1726959.0,64084.0,116860.0,4138.0,50207.0,7861095.0,2540509.0,1485448.0,1709418.0,2558317.0,1350840.0,2781766.0,4256932.0,2314639.0,2785941.0,4087565.0,6688697.0,7887991.0,4341751.0,803036.0,5063903.0,456965.0,836745.0
