nppes_provider_state,beneficiary_age_less_65_total,beneficiary_age_65_74_total,beneficiary_age_75_84_total,beneficiary_age_greater_84_total,beneficiary_female_total,beneficiary_male_total,beneficiary_race_white_total,beneficiary_race_black_total,beneficiary_race_api_total,beneficiary_race_hispanic_total,beneficiary_race_natind_total,beneficiary_race_other_total,beneficiary_nondual_total,beneficiary_dual_total,beneficiary_cc_afib_total,beneficiary_cc_alzrdsd_total,beneficiary_cc_asthma_total,beneficiary_cc_cancer_total,beneficiary_cc_chf_total,beneficiary_cc_ckd_total,beneficiary_cc_copd_total,beneficiary_cc_depr_total,beneficiary_cc_diab_total,beneficiary_cc_hyperl_total,beneficiary_cc_hypert_total,beneficiary_cc_ihd_total,beneficiary_cc_ost_total,beneficiary_cc_raoa_total,beneficiary_cc_schiot_total,beneficiary_cc_strk_total
AK,69482.0,198421.0,110553.0,38595.0,249304.0,190175.0,301698.0,10168.0,13331.0,7011.0,32230.0,2844.0,295394.0,128535.0,52136.0,41465.0,34062.0,47221.0,83709.0,106994.0,72549.0,94119.0,132479.0,186918.0,271974.0,135471.0,27582.0,171504.0,14681.0,18127.0
AL,1463289.0,2891681.0,2026726.0,831063.0,4295461.0,2999641.0,5532044.0,941429.0,13330.0,35160.0,2692.0,17795.0,5426148.0,1696451.0,964508.0,1036444.0,652403.0,847024.0,1874508.0,2075309.0,1579237.0,1757570.0,2761254.0,4433747.0,5364542.0,3083742.0,595997.0,3378471.0,383470.0,549965.0
AR,706527.0,1409891.0,1032111.0,453623.0,2156305.0,1494938.0,2924381.0,229062.0,3453.0,19563.0,16934.0,6184.0,2688905.0,914596.0,507824.0,558208.0,269047.0,431876.0,948269.0,946901.0,770747.0,969136.0,1209148.0,1906039.0,2580671.0,1631713.0,325855.0,1482495.0,248892.0,280344.0
AZ,665161.0,3041300.0,2058887.0,850886.0,3759376.0,3033239.0,5521106.0,130009.0,36058.0,405947.0,115676.0,39739.0,5101142.0,868712.0,992130.0,710004.0,629692.0,919916.0,1308213.0,2017126.0,1172344.0,1473324.0,2081514.0,4011066.0,4579545.0,2567453.0,649603.0,2956275.0,208665.0,455243.0
CA,4034365.0,10790259.0,8089536.0,4425111.0,16065594.0,11874123.0,18381809.0,1454766.0,2246725.0,3857902.0,60957.0,249009.0,17111263.0,9518585.0,3898818.0,4327743.0,2713929.0,3451972.0,7279321.0,8564857.0,5020970.0,6973818.0,10395061.0,16316134.0,19143405.0,11375685.0,3090929.0,12185365.0,1707546.0,2090849.0
CO,666722.0,1874361.0,1216212.0,603668.0,2571820.0,1925356.0,3534578.0,136688.0,28401.0,280753.0,10408.0,26697.0,3310218.0,861507.0,559202.0,557748.0,376416.0,521932.0,884705.0,1187471.0,800330.0,1171881.0,1204745.0,2109771.0,2747296.0,1448350.0,395919.0,1903623.0,211155.0,243546.0
CT,722143.0,1731687.0,1520742.0,1025548.0,2995116.0,2095468.0,4089501.0,305711.0,22957.0,220551.0,1416.0,37717.0,3445931.0,1571465.0,933837.0,874290.0,534223.0,720791.0,1369470.0,1484982.0,997359.0,1469984.0,1726909.0,3152457.0,3620910.0,2028702.0,520571.0,2079589.0,358073.0,373702.0
DE,231987.0,662835.0,463636.0,213094.0,917214.0,672828.0,1256927.0,210897.0,7426.0,20925.0,271.0,8536.0,1248282.0,300077.0,276441.0,241879.0,158734.0,214094.0,390386.0,483092.0,325088.0,410908.0,621817.0,1114612.0,1155983.0,704430.0,131665.0,717058.0,70604.0,160421.0
FL,3639164.0,10500385.0,8907311.0,4906454.0,16118463.0,12238373.0,22126438.0,1954671.0,87836.0,2226049.0,10768.0,130387.0,20921191.0,6259433.0,4875608.0,5073861.0,2648029.0,4128605.0,7555711.0,9336379.0,6736859.0,7954545.0,10785000.0,19318896.0,20578325.0,14437779.0,3235015.0,13641185.0,1781967.0,2523564.0
GA,1942672.0,4162740.0,2814673.0,1241390.0,6021897.0,4321111.0,7529205.0,1651768.0,57853.0,104252.0,4763.0,29444.0,7419373.0,2583933.0,1394219.0,1525456.0,869703.0,1254659.0,2618781.0,3346200.0,2188159.0,2629945.0,3912622.0,6316718.0,7522112.0,4182146.0,768034.0,4494167.0,567816.0,814707.0
